Category,Brand,Your SKU,Product ID,Product Name,Number of merchants,Price,Lowest price incl us,Lowest price incl us,Lowest price excl us,Lowest price excl us,Popularity Rank (category),Popularity Rank (global),Price 1 - Merchant Name,Price 1 - Price,Price 2 - Merchant Name,Price 2 - Price,Price 3 - Merchant Name,Price 3 - Price,Price 4 - Merchant Name,Price 4 - Price,Price 5 - Merchant Name,Price 5 - Price,Price 6 - Merchant Name,Price 6 - Price,Price 7 - Merchant Name,Price 7 - Price,Price 8 - Merchant Name,Price 8 - Price,Price 9 - Merchant Name,Price 9 - Price,Price 10 - Merchant Name,Price 10 - Price,Link to product,Gtin14
Belysning,Philips Hue,230043-01,3200846963,Philips Hue Xamento M Takplafond 38.1cm,18,"2 319,00",Elbutik,"1 949,00",Elbutik,"1 949,00",5672,302327,Elbutik,"1 949,00",Bauhaus,"1 949,00",Power SE,"2 056,00",Amazon.se,"2 056,00",Proshop,"2 056,00",ComputerSalg.se,"2 136,00",Ljusihem,"2 189,00",Cdon,"2 249,00",Komplett,"2 290,00",tink,"2 319,00",https://www.pricerunner.se/pl/460-3200846963/Belysning/Philips-Hue-Xamento-M-Takplafond-38.1cm-priser,8719514452251
Belysning,Philips Hue,230032 -01,4688527,Philips Hue Col Play Single PK EU/UK Väggarmatur,29,"769,00",Power SE,"699,00",Power SE,"699,00",861,48238,Power SE,"699,00",Inet,"699,00",Dustin Home,"699,00",Webhallen SE,"699,00",Cdon,"699,00",Elbutik,"706,00",Proshop,"733,00",Amazon.se,"734,00",tink,"769,00",Ljusihem,"769,00",https://www.pricerunner.se/pl/460-4688527/Belysning/Philips-Hue-Col-Play-Single-PK-EU-UK-Vaeggarmatur-priser,8718696170717
Belysning,Philips Hue,230031-01,5119134,Philips Hue Lily XL WACA LV EU spike Markbelysning 19cm,23,"1 549,00",Kjell & Company,"1 290,00",Kjell & Company,"1 290,00",,,Kjell & Company,"1 290,00",Power SE,"1 433,00",Proshop,"1 433,00",Coolshop SE,"1 450,00",ComputerSalg.se,"1 478,00",Lampemesteren.se,"1 510,00",Elbutik,"1 513,00",Bauhaus,"1 513,00",Cdon,"1 519,00",tink,"1 549,00",https://www.pricerunner.se/pl/460-5119134/Belysning/Philips-Hue-Lily-XL-WACA-LV-EU-spike-Markbelysning-19cm-priser,8718696174364
Belysning,Hombli,300034-01,3200128090,Hombli HBLS-0521 Ljuslist,15,"549,00",Compumail,"449,00",Compumail,"449,00",,,Compumail,"449,00",Cdon,"499,00",Proshop,"499,00",ComputerSalg.se,"514,00",tink,"549,00",Ginza AB,"549,00",Gameshop,"569,00",Pluus SE,"591,50",Coolshop SE,"599,00",Spelbutiken,"599,00",https://www.pricerunner.se/pl/460-3200128090/Belysning/Hombli-HBLS-0521-Ljuslist-priser,8719323914827
Belysning,Hombli,300032-01,3203279902,Hombli Smart Outdoor Light String Ljusslinga 10 Lampor,17,"849,00",Proshop,"741,00",Proshop,"741,00",,,Proshop,"741,00",tink,"849,00",ComputerSalg.se,"852,00",Compumail,"869,00",Coolshop SE,"909,00",Spelbutiken,"909,00",Datia,"913,00",Net2World,"989,00",Gameshop,"1 056,00",Elektronik24,"1 072,00",https://www.pricerunner.se/pl/460-3203279902/Belysning/Hombli-Smart-Outdoor-Light-String-Ljusslinga-10-Lampor-priser,8719323918368
Belysning,Innr,800024-01,3203817474,Innr Smart Spotlight,9,"499,00",ComputerSalg.se,"478,00",ComputerSalg.se,"478,00",,,ComputerSalg.se,"478,00",tink,"499,00",Cdon,"499,00",Komplett,"499,00",Proshop,"499,00",Lamp24,"549,00",Buyersclub,"569,00",Fcomputer SE,"792,00",Elektronik24,"823,00",,,https://www.pricerunner.se/pl/460-3203817474/Belysning/Innr-Smart-Spotlight-priser,8718781552787
Belysning,Twinkly,310008-01,3200315446,Twinkly Line Extension Ljuslist,20,"499,00",Proshop,"234,00",Proshop,"234,00",,,Proshop,"234,00",ComputerSalg.se,"279,00",Coolstuff,"299,00",Compumail,"307,00",Buyersclub,"309,00",Cdon,"338,00",Inredningsvaruhuset,"399,00",HusOchHemma,"399,00",TVexperten,"399,00",Ginza AB,"399,00",https://www.pricerunner.se/pl/460-3200315446/Belysning/Twinkly-Line-Extension-Ljuslist-priser,8056326677121
Belysning,Philips Hue,230029-01,5197660,Philips Hue Outdoor 5m EU Ljuslist,42,"1 999,00",Mätteknik för alla,"1 788,00",Mätteknik för alla,"1 788,00",70,6997,Mätteknik för alla,"1 788,00",Webhallen SE,"1 890,00",Hornbach,"1 890,00",Coolshop SE,"1 948,00",Cdon,"1 948,00",Spelbutiken,"1 948,00",Kjell & Company,"1 990,00",Inet,"1 990,00",tink,"1 999,00",Clas Ohlson,"1 999,00",https://www.pricerunner.se/pl/460-5197660/Belysning/Philips-Hue-Outdoor-5m-EU-Ljuslist-priser,8718699709853
Belysning,Philips Hue,230027-01,4569939,Philips Hue Lily Ext. Spike 1x8W 24V Markbelysning 8.4cm,42,"999,00",Bauhaus,"789,00",Bauhaus,"789,00",2026,103532,Bauhaus,"789,00",Amazon.se,"789,00",Hornbach,"789,00",NetOnNet,"799,00",Webhallen SE,"849,00",Proshop,"910,00",Coolshop SE,"925,00",Cdon,"925,00",ComputerSalg.se,"947,00",Elon,"949,00",https://www.pricerunner.se/pl/460-4569939/Belysning/Philips-Hue-Lily-Ext.-Spike-1x8W-24V-Markbelysning-8.4cm-priser,8718696167977
Belysning,Philips Hue,230025 - 01,3703048,Philips Hue Col Go V2 EU Bordslampa,38,"879,00",Amazon.se,"714,40",Amazon.se,"714,40",382,25180,Amazon.se,"714,40",Inet,"749,00",Cdon,"749,00",ComputerSalg.se,"789,00",Power SE,"799,00",Bauhaus,"799,00",Webhallen SE,"799,00",Hornbach,"799,00",Elbutik,"807,00",Proshop,"821,00",https://www.pricerunner.se/pl/460-3703048/Belysning/Philips-Hue-Col-Go-V2-EU-Bordslampa-priser,8718696173992
Belysning,Philips Hue,230026-01,4569973,Philips Hue Lily Base Unit Spike 3x8W 24V Markbelysning 19.3cm 3st,34,"2 999,00",Compumail,"2 843,00",Compumail,"2 843,00",418,27279,Compumail,"2 843,00",ComputerSalg.se,"2 932,00",Power SE,"2 945,00",Proshop,"2 945,00",Amazon.se,"2 945,00",NetOnNet,"2 990,00",Hornbach,"2 990,00",Elon,"2 995,00",tink,"2 999,00",Clas Ohlson,"2 999,00",https://www.pricerunner.se/pl/460-4569973/Belysning/Philips-Hue-Lily-Base-Unit-Spike-3x8W-24V-Markbelysning-19.3cm-3st-priser,8718696167960
Belysning,Twinkly,310006-01,3203466184,Twinkly Garland Ljusslinga 600 Lampor,9,"2 596,00",123ink.se,"2 350,00",123ink.se,"2 350,00",,,123ink.se,"2 350,00",Amazon.se,"2 449,99",ComputerSalg.se,"2 478,00",Cdon,"2 549,00",tink,"2 596,00",Buyersclub,"2 889,00",Elgiganten,"2 949,00",Lampmani,"3 569,00",Conrad Elektronik,"3 590,00",,,https://www.pricerunner.se/pl/460-3203466184/Belysning/Twinkly-Garland-Ljusslinga-600-Lampor-priser,8056326678579
Belysning,Meross,250020-01,3204257219,Meross Wifi Led Strip Works Apple Homekit Ljuslist,6,"549,00",ComputerSalg.se,"531,00",ComputerSalg.se,"531,00",3233,164066,ComputerSalg.se,"531,00",Amazon.se,"531,00",tink,"549,00",Buyersclub,"592,00",iPhonebutiken,"649,00",Cdon,"669,00",,,,,,,,,https://www.pricerunner.se/pl/460-3204257219/Belysning/Meross-Wifi-Led-Strip-Works-Apple-Homekit-Ljuslist-priser,680306682706
Belysning,Innr,8000036-01,5309713,Innr Flex Ljuslist,9,"749,00",Cdon,"649,00",Cdon,"649,00",,,Cdon,"649,00",Compumail,"743,00",tink,"749,00",Amazon.se,"788,00",Komplett,"829,00",ComputerSalg.se,"948,00",Lamp24,"999,00",Buyersclub,"1 059,00",Fcomputer SE,"1 432,00",,,https://www.pricerunner.se/pl/460-5309713/Belysning/Innr-Flex-Ljuslist-priser,8718781552725
Belysning,Twinkly,310007-01,3203486117,Twinkly Festoon 40 RGB Ljusslinga 40 Lampor,8,"1 882,00",Proshop,"1 828,00",Proshop,"1 828,00",,,Proshop,"1 828,00",tink,"1 882,00",Cdon,"2 119,00",Bauhaus,"2 499,00",Elgiganten,"2 499,00",ComputerSalg.se,"2 536,00",Buyersclub,"2 809,00",Lampmani,"2 819,00",,,,,https://www.pricerunner.se/pl/460-3203486117/Belysning/Twinkly-Festoon-40-RGB-Ljusslinga-40-Lampor-priser,8056326678173
Belysning,Eve,140013-01,5064993,Eve Light Strip Ljuslist,18,"899,00",Webhallen SE,"699,00",Webhallen SE,"699,00",,,Webhallen SE,"699,00",MaxGaming,"729,00",Power SE,"849,00",Cdon,"849,00",Komplett,"849,00",Inet,"849,00",Proshop,"852,00",ComputerSalg.se,"881,00",tink,"899,00",MacForum,"899,00",https://www.pricerunner.se/pl/460-5064993/Belysning/Eve-Light-Strip-Ljuslist-priser,4260195391680
Belysning,Eva,140006-01,3200063796,Eva Light Strip Extension Ljuslist,17,"569,00",MaxGaming,"439,00",MaxGaming,"439,00",,,MaxGaming,"439,00",Webhallen SE,"549,00",Power SE,"549,00",Cdon,"549,00",iPhonebutiken,"549,00",Inet,"549,00",Proshop,"558,00",tink,"569,00",Compumail,"590,00",ComputerSalg.se,"602,00",https://www.pricerunner.se/pl/460-3200063796/Belysning/Eva-Light-Strip-Extension-Ljuslist-priser,4260195391819
Belysning,Hombli,300030-01,3203747174,"Hombli Startkit: Smart utomhusbelysning, Starter Markbelysning",13,"1 799,00",tink,"1 799,00",Proshop,"1 799,00",,,tink,"1 799,00",Proshop,"1 799,00",ComputerSalg.se,"1 833,00",Coolshop SE,"1 939,00",Cdon,"1 939,00",Spelbutiken,"1 939,00",Net2World,"2 089,00",Elektronik24,"2 127,00",Gameshop,"2 178,00",Ginza AB,"2 429,00",https://www.pricerunner.se/pl/460-3203747174/Belysning/Hombli-Startkit-Smart-utomhusbelysning-Starter-Markbelysning-priser,8719323919051
Belysning,Philips Hue,230028-01,4751319,Philips Hue Outdoor 2m EU Ljuslist,38,"1 199,00",PO Radio-TV,"849,00",PO Radio-TV,"849,00",880,49262,PO Radio-TV,"849,00",Mätteknik för alla,"1 031,00",Webhallen SE,"1 090,00",Power SE,"1 190,00",Inet,"1 190,00",Cdon,"1 190,00",Amazon.se,"1 190,00",tink,"1 199,00",Hemprodukter,"1 199,00",GardenStore,"1 199,00",https://www.pricerunner.se/pl/460-4751319/Belysning/Philips-Hue-Outdoor-2m-EU-Ljuslist-priser,8718699709839
Belysning,Innr,800032-01,3203931976,Innr Smart Globe Extension Markbelysning,6,"699,00",tink,"699,00",Cdon,"699,00",,,tink,"699,00",Cdon,"699,00",Komplett,"729,00",Lamp24,"799,00",ComputerSalg.se,"1 222,00",Fcomputer SE,"1 222,00",,,,,,,,,https://www.pricerunner.se/pl/460-3203931976/Belysning/Innr-Smart-Globe-Extension-Markbelysning-priser,8718781553654
Belysning,Philips Hue,230037-01,4826109,Philips Hue Outdoor Sensor Väggarmatur,34,"549,00",Bauhaus,"429,00",Bauhaus,"429,00",35,4090,Bauhaus,"429,00",Clas Ohlson,"429,00",Proshop,"467,00",Amazon.se,"467,00",Hornbach,"475,00",PO Radio-TV,"490,00",Compumail,"497,00",Kjell & Company,"499,00",Elbutik,"504,00",ComputerSalg.se,"513,00",https://www.pricerunner.se/pl/460-4826109/Belysning/Philips-Hue-Outdoor-Sensor-Vaeggarmatur-priser,8719514342262
Belysning,Meross,250017-01,3204460212,Meross Smart Wifi Lightstrip Pro Ljuslist,3,"399,00",tink,"399,00",Amazon.se,"485,50",,,tink,"399,00",Amazon.se,"485,50",ComputerSalg.se,"797,00",,,,,,,,,,,,,,,https://www.pricerunner.se/pl/460-3204460212/Belysning/Meross-Smart-Wifi-Lightstrip-Pro-Ljuslist-priser,6973696561312
Belysning,Twinkly,310003-01,5304726,Twinkly 600 LED Ljusslinga 600 Lampor,15,"1 999,00",Compumail,"1 621,00",Compumail,"1 621,00",1417,74801,Compumail,"1 621,00",Power SE,"1 753,00",ComputerSalg.se,"1 753,00",Amazon.se,"1 753,00",Cdon,"1 799,00",Bauhaus,"1 812,00",123ink.se,"1 900,00",tink,"1 999,00",Proshop,"2 379,00",VVS och BAD,"2 449,00",https://www.pricerunner.se/pl/460-5304726/Belysning/Twinkly-600-LED-Ljusslinga-600-Lampor-priser,8056326672737
Belysning,Philips Hue,230033-01,4793730,Philips Hue Col Play Doublepk EU/UK Väggarmatur 2st,40,"1 399,00",Compumail,"1 133,00",Compumail,"1 133,00",55,5477,Compumail,"1 133,00",Power SE,"1 190,00",Inet,"1 190,00",Webhallen SE,"1 190,00",Cdon,"1 190,00",Amazon.se,"1 190,00",ComputerSalg.se,"1 297,00",Trademax SE,"1 299,00",Kjell & Company,"1 299,00",Chilli,"1 299,00",https://www.pricerunner.se/pl/460-4793730/Belysning/Philips-Hue-Col-Play-Doublepk-EU-UK-Vaeggarmatur-2st-priser,8718696170724
Belysning,Innr,800026-01,3203817277,Innr RCL 110 Takplafond,8,"699,00",Compumail,"693,00",Compumail,"693,00",,,Compumail,"693,00",tink,"699,00",ComputerSalg.se,"738,00",Cdon,"787,00",Komplett,"789,00",Buyersclub,"999,00",Elektronik24,"1 066,00",Fcomputer SE,"1 082,00",,,,,https://www.pricerunner.se/pl/460-3203817277/Belysning/Innr-RCL-110-Takplafond-priser,8718781552619
Belysning,Twinkly,310002-01,5306755,Twinkly Generation II Ljusslinga 100 Lampor,15,"719,00",Power SE,"479,00",Power SE,"479,00",2698,136404,Power SE,"479,00",Amazon.se,"479,00",123ink.se,"550,00",Clas Ohlson,"589,00",Bauhaus,"589,00",ComputerSalg.se,"668,00",Cdon,"717,00",tink,"719,00",Proshop,"749,00",VVS och BAD,"765,00",https://www.pricerunner.se/pl/460-5306755/Belysning/Twinkly-Generation-II-Ljusslinga-100-Lampor-priser,8056326673284
Belysning,Innr,800003-01,5248909,Innr Puck Spotlight 3st,6,"229,00",tink,"229,00",Komplett,"259,00",4623,244006,tink,"229,00",Komplett,"259,00",Lamp24,"269,00",ComputerSalg.se,"878,00",Fcomputer SE,"1 236,00",Cdon,"1 263,00",,,,,,,,,https://www.pricerunner.se/pl/460-5248909/Belysning/Innr-Puck-Spotlight-3st-priser,8718781552466
Belysning,Hombli,300029-01,3203746065,Hombli Smart Pathway Pollare,11,"650,00",Coolshop SE,"550,00",Coolshop SE,"550,00",,,Coolshop SE,"550,00",Spelbutiken,"550,00",Proshop,"565,00",Gameshop,"630,00",tink,"650,00",ComputerSalg.se,"678,00",Net2World,"749,00",Amazon.se,"878,24",Elektronik24,"883,00",Lilon,"1 189,00",https://www.pricerunner.se/pl/460-3203746065/Belysning/Hombli-Smart-Pathway-Pollare-priser,8719323919044
