Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Belysning	Eve	140013-01	5064993	Eve Light Strip Ljuslist	21	945,00	Proshop	716,00	Proshop	716,00	1028	73971	Proshop	716,00	In stock	59,00	MaxGaming	729,00	In stock	39,00	Komplett	756,00	In stock	0,00	Power SE	849,00	In stock	0,00	Cdon	849,00	In stock	0,00	Inet	849,00	In stock	0,00	Mstore	895,00	In stock	0,00	Webhallen SE	899,00	In stock	0,00	iPhonebutiken	899,00	In stock	49,00	Rabattklubb	939,99	In stock	0,00	https://www.pricerunner.se/pl/460-5064993/Belysning/Eve-Light-Strip-Ljuslist-priser	04260195391680
Belysning	Innr	800032-01	3203931976	Innr Smart Globe Extension Markbelysning	5	699,00	tink	699,00	Cdon	699,00			tink	699,00	In stock	0,00	Cdon	699,00	In stock	0,00	Komplett	729,00	In stock	0,00	mcbuero	978,45	In stock	237,59	ComputerSalg.se	1 036,00	In stock	0,00																					https://www.pricerunner.se/pl/460-3203931976/Belysning/Innr-Smart-Globe-Extension-Markbelysning-priser	08718781553654
Belysning	Meross	250017-01	3204460212	Meross Smart Wifi Lightstrip Pro Ljuslist	3	399,00	ComputerSalg.se	388,00	ComputerSalg.se	388,00			ComputerSalg.se	388,00	In stock	59,00	tink	399,00	In stock	0,00	iPhonebutiken	549,00	In stock	49,00																													https://www.pricerunner.se/pl/460-3204460212/Belysning/Meross-Smart-Wifi-Lightstrip-Pro-Ljuslist-priser	06973696561312
Belysning	Twinkly	310003-01	5304726	Twinkly 600 LED Ljusslinga 600 Lampor	15	2 099,00	Compumail	1 552,00	Compumail	1 552,00	4060	262505	Compumail	1 552,00	In stock	0,00	123ink.se	1 650,00	In stock	35,00	ComputerSalg.se	1 676,00	In stock	0,00	Cdon	1 719,00	In stock	0,00	Datagrottan	1 731,00	In stock	39,00	Prylfynda AB	1 773,00	In stock		Bauhaus	1 895,00	Out of stock	59,00	tink	2 099,00	In stock	0,00	Power SE	2 379,00	In stock	0,00	Proshop	2 379,00	In stock	0,00	https://www.pricerunner.se/pl/460-5304726/Belysning/Twinkly-600-LED-Ljusslinga-600-Lampor-priser	08056326672737
Belysning	Innr	800026-01	3203817277	Innr RCL 110 Takplafond	3	699,00	ComputerSalg.se	648,00	ComputerSalg.se	648,00			ComputerSalg.se	648,00	In stock	59,00	tink	699,00	In stock	0,00	Cdon	749,00	In stock	0,00																													https://www.pricerunner.se/pl/460-3203817277/Belysning/Innr-RCL-110-Takplafond-priser	08718781552619
Belysning	Philips Hue	230033-01	4793730	Philips Hue Col Play Doublepk EU/UK Väggarmatur 2st	39	1 399,00	Webhallen SE	1 190,00	Webhallen SE	1 190,00	75	11095	Webhallen SE	1 190,00	Out of stock	0,00	Elbutik	1 229,00	Out of stock	0,00	Lamper	1 237,82	Unknown stock status	0,00	Power SE	1 290,00	In stock	0,00	Inet	1 290,00	Out of stock	0,00	Dustin Home	1 290,00	Preorder	69,00	Cdon	1 290,00	In stock	0,00	ComputerSalg.se	1 309,00	In stock	0,00	Komplett	1 339,00	In stock	0,00	Elgiganten	1 339,00	In stock	0,00	https://www.pricerunner.se/pl/460-4793730/Belysning/Philips-Hue-Col-Play-Doublepk-EU-UK-Vaeggarmatur-2st-priser	08718696170724
Belysning	Twinkly	310002-01	5306755	Twinkly Generation II Ljusslinga 100 Lampor	13	743,00	Teknikmagasinet	479,00	Teknikmagasinet	479,00			Teknikmagasinet	479,00	Out of stock	0,00	Power SE	589,00	In stock	0,00	Bauhaus	589,00	In stock	59,00	123ink.se	690,00	In stock	35,00	tink	743,00	In stock	0,00	Proshop	749,00	In stock	59,00	ComputerSalg.se	757,00	In stock	59,00	VVS och BAD	765,00	In stock	129,00	Buyersclub	799,00	In stock	49,00	Elgiganten	799,00	In stock	49,00	https://www.pricerunner.se/pl/460-5306755/Belysning/Twinkly-Generation-II-Ljusslinga-100-Lampor-priser	08056326673284
Belysning	Innr	800009-01	3203982567	Innr Flex Ljuslist	7	799,00	tink	799,00	Komplett	829,00			tink	799,00	In stock	0,00	Komplett	829,00	In stock	0,00	Proshop	911,00	Out of stock	59,00	Lamp24	999,00	In stock	0,00	ComputerSalg.se	1 056,00	In stock	0,00	Cdon	1 056,00	In stock	0,00	Buyersclub	1 189,00	In stock	49,00													https://www.pricerunner.se/pl/460-3203982567/Belysning/Innr-Flex-Ljuslist-priser	08718781552732
Belysning	Twinkly	310008-02	3203970209	Twinkly RGB LED-listförlängning Ljuslist	5	499,00	tink	499,00	Cdon	536,00			tink	499,00	In stock	0,00	Cdon	536,00	In stock	0,00	Lampmani	545,00	In stock	99,00	Bauhaus	599,00	In stock	59,00	Elgiganten	599,00	In stock	49,00																					https://www.pricerunner.se/pl/460-3203970209/Belysning/Twinkly-RGB-LED-listfoerlaengning-Ljuslist-priser	08056326677886
Belysning	Twinkly	310009-02	3203467414	Twinkly Line Ljuslist	6	899,00	ComputerSalg.se	877,00	ComputerSalg.se	877,00			ComputerSalg.se	877,00	In stock	59,00	tink	899,00	In stock	0,00	Cdon	926,00	In stock	0,00	Lampmani	986,00	In stock	0,00	Bauhaus	1 049,00	In stock	59,00	Elgiganten	1 049,00	In stock	0,00																	https://www.pricerunner.se/pl/460-3203467414/Belysning/Twinkly-Line-Ljuslist-priser	08056326677879
