Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Belysning	Hombli	300043-01	3204904340	Hombli Smart Light V2 Väggarmatur	9	669,00	tink	669,00	Datia	695,00			tink	669,00	In stock	0,00	Datia	695,00	Unknown stock status	124,00	Coolshop SE	695,00	In stock	0,00	Cdon	695,00	In stock	29,00	Spelbutiken	695,00	In stock	0,00	Proshop	797,00	In stock	59,00	Compliq	815,00	Out of stock	123,75	Gameshop	854,00	Preorder	79,00	Ginza AB	929,00	In stock	0,00					https://www.pricerunner.se/pl/460-3204904340/Belysning/Hombli-Smart-Light-V2-Vaeggarmatur-priser	08719323919754
Belysning	Twinkly	310004-01	3203279945	Twinkly Festoon Ljusslinga 40 Lampor	5	1 999,00	tink	1 999,00	ComputerSalg.se	2 077,00			tink	1 999,00	In stock	0,00	ComputerSalg.se	2 077,00	In stock	0,00	Cdon	2 139,00	In stock	0,00	Lampmani	2 299,00	In stock	0,00	Elgiganten	2 499,00	In stock	39,00																					https://www.pricerunner.se/pl/460-3203279945/Belysning/Twinkly-Festoon-Ljusslinga-40-Lampor-priser	08056326678272
Belysning	Innr	8000037-01	5309688	Innr Flex Ljuslist	7	549,00	Compumail	478,00	Compumail	478,00			Compumail	478,00	In stock	62,00	Cdon	499,00	In stock	49,00	tink	549,00	In stock	0,00	ComputerSalg.se	554,00	In stock	49,00	Buyersclub	571,00	In stock	49,00	Amazon.se	579,00	In stock		Komplett	629,00	In stock	0,00													https://www.pricerunner.se/pl/460-5309688/Belysning/Innr-Flex-Ljuslist-priser	08718781552718
Belysning	Philips Hue	230041-01	4909799	Philips Hue Col Play UK EXT Väggarmatur	42	689,00	Lamper	540,95	Lamper	540,95	426	33113	Lamper	540,95	Unknown stock status	0,00	Power SE	549,00	In stock	0,00	Inet	549,00	Out of stock	0,00	Webhallen SE	549,00	Out of stock	0,00	Cdon	549,00	In stock	0,00	Amazon.se	549,00	In stock		ComputerSalg.se	578,00	In stock	49,00	Elgiganten	580,00	In stock	39,00	Dustin Home	583,00	Preorder	69,00	Proshop	586,00	In stock	59,00	https://www.pricerunner.se/pl/460-4909799/Belysning/Philips-Hue-Col-Play-UK-EXT-Vaeggarmatur-priser	08718696170731
Belysning	Philips Hue	230043-01	3200846963	Philips Hue Xamento M Takplafond 38.1cm	21	2 319,00	Komplett	1 999,00	Komplett	1 999,00	4818	271012	Komplett	1 999,00	In stock	0,00	Power SE	2 045,00	In stock	0,00	Elgiganten	2 045,00	In stock	39,00	Amazon.se	2 048,50	In stock		Elbutik	2 058,00	Out of stock	0,00	Proshop	2 065,00	In stock	0,00	Lamper	2 076,05	Unknown stock status	0,00	Ljusihem	2 189,00	In stock	0,00	ComputerSalg.se	2 214,00	In stock	0,00	Cdon	2 249,00	In stock	0,00	https://www.pricerunner.se/pl/460-3200846963/Belysning/Philips-Hue-Xamento-M-Takplafond-38.1cm-priser	08719514452251
Belysning	Philips Hue	230032 -01	4688527	Philips Hue Col Play Single PK EU/UK Väggarmatur	37	769,00	Compumail	621,00	Compumail	621,00	3184	198324	Compumail	621,00	In stock	62,00	MediaMarkt	629,00	In stock	0,00	Amazon.se	629,00	In stock		Lamper	692,03	Unknown stock status	0,00	Power SE	699,00	In stock	0,00	Inet	699,00	In stock	0,00	Webhallen SE	699,00	Out of stock	0,00	Cdon	699,00	In stock	0,00	Elbutik	706,00	Out of stock	49,00	ComputerSalg.se	710,00	In stock	49,00	https://www.pricerunner.se/pl/460-4688527/Belysning/Philips-Hue-Col-Play-Single-PK-EU-UK-Vaeggarmatur-priser	08718696170717
Belysning	Philips Hue	230031-01	5119134	Philips Hue Lily XL WACA LV EU spike Markbelysning 19cm	19	1 549,00	Elbutik	1 455,00	Elbutik	1 455,00	3196	198839	Elbutik	1 455,00	Out of stock	0,00	ComputerSalg.se	1 523,00	In stock	0,00	Power SE	1 530,00	In stock	0,00	Proshop	1 530,00	In stock	0,00	tink	1 549,00	In stock	0,00	Hemprodukter	1 549,00	Out of stock	0,00	Proffsmagasinet	1 551,00	Out of stock	0,00	Cdon	1 559,00	In stock	0,00	iPhonebutiken	1 649,00	Out of stock	0,00	Ljusihem	1 649,00	In stock	0,00	https://www.pricerunner.se/pl/460-5119134/Belysning/Philips-Hue-Lily-XL-WACA-LV-EU-spike-Markbelysning-19cm-priser	08718696174364
Belysning	Hombli	300034-01	3200128090	Hombli HBLS-0521 Ljuslist	20	599,00	Powerbanken	455,76	Powerbanken	455,76			Powerbanken	455,76	Unknown stock status		Compumail	469,00	In stock	62,00	Coolshop SE	495,00	In stock	0,00	Cdon	495,00	In stock	29,00	Proshop	495,00	In stock	59,00	Spelbutiken	495,00	In stock	0,00	Ginza AB	559,00	In stock	39,00	Buyersclub	579,00	In stock	49,00	Gameshop	581,00	Preorder	79,00	Datia	583,00	Unknown stock status	124,00	https://www.pricerunner.se/pl/460-3200128090/Belysning/Hombli-HBLS-0521-Ljuslist-priser	08719323914827
Belysning	Hombli	300032-01	3203279902	Hombli Smart Outdoor Light String Ljusslinga 10 Lampor	17	899,00	Powerbanken	714,89	Powerbanken	714,89	4087	215637	Powerbanken	714,89	Unknown stock status		Proshop	765,00	In stock	59,00	ComputerSalg.se	848,00	In stock	49,00	Compumail	878,00	In stock	62,00	tink	899,00	In stock	0,00	Coolshop SE	909,00	In stock	0,00	Spelbutiken	909,00	In stock	0,00	Datia	919,00	Unknown stock status	124,00	Fcomputer SE	975,00	In stock	69,00	Net2World	989,00	In stock	49,00	https://www.pricerunner.se/pl/460-3203279902/Belysning/Hombli-Smart-Outdoor-Light-String-Ljusslinga-10-Lampor-priser	08719323918368
Belysning	Innr	800024-01	3203817474	Innr Smart Spotlight	12	499,00	Compumail	363,00	Compumail	363,00			Compumail	363,00	In stock	62,00	ComputerSalg.se	375,00	In stock	49,00	Proshop	464,00	In stock	59,00	Buyersclub	489,00	In stock	49,00	Elon	490,00	In stock	29,00	tink	499,00	In stock	0,00	Cdon	499,00	In stock	49,00	Komplett	499,00	In stock	59,00	Teknikproffset	529,00	Unknown stock status	49,00	Lamp24	549,00	In stock	0,00	https://www.pricerunner.se/pl/460-3203817474/Belysning/Innr-Smart-Spotlight-priser	08718781552787
Belysning	Twinkly	310008-01	3200315446	Twinkly Line Extension Ljuslist	19	499,00	Webhallen SE	199,00	Webhallen SE	199,00	764	57602	Webhallen SE	199,00	Out of stock	49,00	Amazon.se	234,00	In stock		Proshop	234,00	In stock	59,00	ComputerSalg.se	279,00	In stock	49,00	Compumail	305,00	In stock	62,00	Buyersclub	309,00	In stock	49,00	Cdon	338,00	In stock	0,00	Ginza AB	389,00	In stock	39,00	Hemmy	399,00	Out of stock	39,00	HusOchHemma	399,00	In stock	49,00	https://www.pricerunner.se/pl/460-3200315446/Belysning/Twinkly-Line-Extension-Ljuslist-priser	08056326677121
Belysning	Philips Hue	230029-01	5197660	Philips Hue Outdoor 5m EU Ljuslist	48	1 999,00	Webhallen SE	1 890,00	Webhallen SE	1 890,00	228	20666	Webhallen SE	1 890,00	In stock	0,00	Cdon	1 948,00	In stock	29,00	Kjell & Company	1 990,00	In stock	0,00	Inet	1 990,00	In stock	0,00	Hornbach	1 990,00	In stock	69,90	tink	1 999,00	In stock	0,00	Clas Ohlson	1 999,00	In stock	39,00	Amazon.se	2 006,75	In stock		Power SE	2 053,00	In stock	0,00	Komplett	2 053,00	In stock	0,00	https://www.pricerunner.se/pl/460-5197660/Belysning/Philips-Hue-Outdoor-5m-EU-Ljuslist-priser	08718699709853
Belysning	Philips Hue	230027-01	4569939	Philips Hue Lily Ext. Spike 1x8W 24V Markbelysning 8.4cm	42	999,00	NetOnNet	799,00	NetOnNet	799,00			NetOnNet	799,00	In stock	0,00	Webhallen SE	849,00	In stock	0,00	Gravis.de	918,62	In stock	286,99	Trademax SE	925,00	In stock	295,00	Chilli	925,00	In stock	295,00	Hornbach	925,00	In stock	69,90	Power SE	930,00	In stock	0,00	Amazon.se	930,00	In stock		Elgiganten	930,00	In stock	39,00	Proshop	935,00	In stock	59,00	https://www.pricerunner.se/pl/460-4569939/Belysning/Philips-Hue-Lily-Ext.-Spike-1x8W-24V-Markbelysning-8.4cm-priser	08718696167977
